trajectory length
141
141
141
109
109
109
105
105
105
90
90
90
84
84
84
73
73
73
88
88
88
76
76
76
37
37
37
30
30
30
37
37
37
50
50
50
74
74
74
58
58
58
42
42
42
44
44
44
41
41
41
29
29
29
20
20
20
20
20
20
23
23
23
28
28
28
31
31
31
36
36
36
39
39
39
36
36
36
29
29
29
37
37
37
31
31
31
40
40
40
44
44
44
25
25
25
22
22
22
16
16
16
31
31
31
25
25
25
29
29
29
32
32
32
37
37
37
39
39
39
45
45
45
44
44
44
38
38
38
42
42
42
38
38
38
34
34
34
35
35
35
34
34
34
24
24
24
60
60
60
43
43
43
47
47
47
35
35
35
36
36
36
43
43
43
46
46
46
49
49
49
45
45
45
36
36
36
