data
141
109
105
90
84
73
88
76
37
30
37
50
74
58
42
44
41
29
20
20
23
28
31
36
39
36
29
37
31
40
44
25
22
16
31
25
29
32
37
39
45
44
38
42
38
34
35
34
24
60
43
47
35
36
43
46
49
45
36
