data
196
164
139
109
115
109
101
80
61
63
66
66
55
56
52
56
53
37
39
36
34
37
33
31
34
34
29
33
38
35
29
24
27
24
20
20
21
21
21
19
18
19
18
20
19
19
15
18
18
18
19
