x,y
4.2,4.2
4.205476342261955,4.180000083723107
4.204395715552757,4.167402854653514
4.204015857435164,4.154759679404339
4.2043764351922785,4.142070798602899
4.205513497451868,4.129336631486257
4.2074576060831275,4.11655764791788
4.2102320065672485,4.103734171760251
4.213850304174424,4.090866203335412
4.218314775202519,4.077953077342407
4.2236153948783315,4.06499325855297
4.229728519920934,4.051984066001302
4.236617323037502,4.0389215763912905
4.244231977512646,4.025800516766559
4.252511494355649,4.01261444775744
4.261385137630589,3.9993560825976147
4.270774306601129,3.9860176804678606
4.280594736154339,3.9725915419441087
4.290757946876584,3.959070781379023
4.301173167290781,3.9454498732531236
4.3117487430128225,3.9317252298966467
4.322393477931955,3.917895969554696
4.333018121839768,3.9039641692348908
4.343536911027812,3.889935272387082
4.353869102037663,3.875818270627787
4.363941157962007,3.8616251875157026
4.37368809874571,3.84737113280108
4.3830557761328715,3.833073112845065
4.392002100671832,3.818749317554415
4.400497971548953,3.8044179747145925
4.408527812611745,3.790096017658558
4.416088562382247,3.775798596599079
4.423189382850802,3.761537499249316
4.4298493380492046,3.747321414794449
4.4360958883546955,3.733155104850136
4.44196211727795,3.719040072549454
4.447485619682972,3.704974261694675
4.45270630542007,3.690952522513468
4.457664561012321,3.6769675371337245
4.4624007609290235,3.6630094889268006
4.466953575554443,3.649067252955143
4.471359600384879,3.6351284784696363
4.475653184619392,3.6211795368576083
4.479864997712956,3.6072069320416165
4.484023203498346,3.59319608155672
4.488151567998524,3.57913319584656
4.49227078283711,3.5650042421635986
4.496397635858398,3.550795477865308
4.500544601568795,3.5364944301813357
4.50472088689111,3.5220885034764042
4.508930675061477,3.5075673658681605
4.513175023832045,3.4929208970293533
4.51745041543655,3.4781411478612814
4.521749894007402,3.463221434024554
4.526063005083374,3.4481566400387664
4.530375770067417,3.4329440244139744
4.534672093575363,3.417581666520949
4.538932847766565,3.4020706892702672
4.543138143365115,3.386412558789775
4.54726659528968,3.37061092296492
4.551296788729481,3.3546704594478474
