x,y,vx,vy
2.4588956794839136,1.70971620971621,0.7992641813303017,-0.21550930540925453
2.4734469545393907,1.706048075795975,0.7034414492340899,-0.16407622351716852
2.48627026568203,1.7032993072909042,0.6210843959268059,-0.12070852214970101
2.497626789643596,1.7013134702210335,0.5521930214084496,-0.08540620130685199
2.5077777031558544,1.6999341306063998,0.4967673256790213,-0.058169260988621435
2.5169841829505692,1.6990048544670397,0.45480730873852077,-0.03899770119500937
2.5255074057595066,1.69836920782299,0.42631297058694817,-0.027891521926015746
2.5336085483144446,1.6978707566942957,0.4112843112242994,-0.02485072318165371
2.542060880296188,1.6968031968032062,0.3925853192750881,-0.04776274930551927
2.55066012418955,1.6961274020097648,0.4000846202970483,-0.09245631239897967
2.559504221268941,1.6945407533642924,0.4298781025579681,-0.10499021430742395
2.568691112808774,1.6929051340816144,0.47610959845953693,-0.10499021430742395
2.5783187400834597,1.6913184854361423,0.5309708845373353,-0.09245631239897967
2.5884850443674114,1.6898787487022877,0.584701681460865,-0.0693405644481968
2.59928796693504,1.6886838651544631,0.6255896540334931,-0.03954708218727965
2.610061507120345,1.6878317760670798,0.6183925960498324,-0.008932033214538171
2.622304166421828,1.6874204227145502,0.5975311470034446,0.0146963590056155
2.633753501400575,1.6875477463712856,0.575848131245229,0.0215778151426671
2.6457121310062632,1.6875477463712856,0.546560613849518,-0.021577815142680867
2.657886231415658,1.6874204227145502,0.599982488330594,-0.014696359005631265
2.669884037531111,1.6878317760670798,0.677341677474278,0.008932033214522406
2.6826849620967415,1.6879199232140507,0.7140099364680859,0.017969267044590786
2.697170476582256,1.68898748310514,0.7827326560313612,0.05464420544255977
2.712625609684448,1.6900746312511117,0.847446063246897,0.07981053047082498
2.7311658929306137,1.6923860453272315,0.9652791019052172,0.12984093748906234
2.751145912910634,1.6948639595698516,1.0619484484788486,0.16168499682745963
2.7730847583788916,1.698615110379826,1.1523541838003504,0.2097633479795895
2.795239074650855,1.7024837907190944,1.1856376547354792,0.23102556127565044
2.8180300092064954,1.706714853773687,1.20207566837613,0.24026651693264056
2.8403802080272826,1.7122191533956337,1.1997161688562001,0.2699547985780213
2.8627108185931873,1.717645099998051,1.1343782373515867,0.278992032408087
2.8832784862196785,1.7238056061585572,1.053016415264322,0.3096070813808278
2.9018383577207265,1.7292511410158566,0.9152486948869798,0.33241390688915806
2.9188801394683908,1.7346672934908327,0.7562120818094189,0.2964486551833132
2.934158978276641,1.741405653170369,0.6865625949187775,0.315555090786354
2.9474300209594486,1.7470568647039335,0.6659182265076298,0.3290090806179997
2.960681475387374,1.7542751366280878,0.6657145046807131,0.35160550489524867
2.9737370472664755,1.7619537325419778,0.7172895239112254,0.4119088355133722
2.989446827682138,1.7711504182092517,0.7765675659905953,0.46101247520424615
3.0055973438326546,1.7806605159546436,0.871087814275378,0.5294329517292375
3.0230015082956427,1.7922077922078024,0.9351967354143271,0.5937455946951042
3.040307731484219,1.8030890677949603,0.9865680328179269,0.640286013039127
3.057662925310001,1.814264167205354,0.9477306373227747,0.6435722798864207
3.075214001684607,1.8259289729878068,0.8942035622261608,0.5957961717725857
3.0923733129615654,1.8375448081330539,0.827938863394186,0.570524646128779
3.107789269553993,1.8493369375722422,0.741023116746923,0.5177206165326169
3.122274784039507,1.8586021821316043,0.7088701349660642,0.46080875337732885
3.1366427689957277,1.8663003663003768,0.6931551668258589,0.41139619124400406
3.151040136334272,1.8748898160662972,0.6751792203770961,0.3566401057817379
3.16497717968308,1.8810013515895974,0.7176184845661608,0.34154298252644133
3.177298192004092,1.8864272981920147,0.7144374183343927,0.29048060756530925
3.1898444692562515,1.892959981195286,0.7086864513516264,0.3064059769365879
3.2030567471744122,1.8994926641985574,0.6719063123381179,0.3295217248873663
3.2152112593289237,1.9064171122994762,0.6080011130260878,0.3559237396854533
3.2275126833950543,1.9141250905956895,0.5748161633023248,0.37389968613421254
3.2396671955495666,1.9215098626863445,0.5723514631668598,0.4276304830577362
3.2513809719692253,1.9296291943350878,0.6064631802179763,0.4838259801167395
3.2638586903292968,1.939540851305568,0.6251621721671783,0.546495489658954
3.276904468080957,1.9501380971969318,0.6735561251659385,0.5421772548687565
3.2889218624512924,1.961078137548737,0.7074641203901235,0.5385820655789983
3.3013114336643934,1.9705196764020405,0.6846572948818066,0.5180362183792264
3.314073181720259,1.9795204795204908,0.6560995023907052,0.47067423332338487
3.3250426044543877,1.9883743707273231,0.5579840648161776,0.4023522780097697
3.3357182033652806,1.995876672347272,0.45986862724164856,0.37677182992351765
3.3446014769544368,2.0037511508099857,0.43131083475054144,0.4036931683951326
3.3515651015651207,2.0099998041174625,0.3437705638141919,0.3105004516873868
3.3600468159291874,2.016189692660292,0.3767451123068666,0.30905436068648884
3.3697527962234033,2.024485318602977,0.502905698103131,0.39853332868061964
3.381887720123033,2.0347887406711056,0.6370782291907187,0.5379441824816156
3.3954917631388413,2.047002017590265,0.7696076268546492,0.6882458047673929
3.4096051007815906,2.0610272080860432,0.8515872938268298,0.8123491340820181
3.4254324107265472,2.07676637088403,0.909629646136386,0.8751171648356089
3.4419159272100637,2.0926230632113105,0.8909239747830324,0.9070664247895484
3.4586638851344924,2.109165344459474,0.8838321174148991,0.8710026518723197
3.476714462008599,2.1246988305811954,0.8727376271031879,0.8189149883724469
3.4941773912362346,2.139693639693652,0.8017472498271836,0.7370338426116556
3.5091624062212494,2.1538559479736072,0.7501789100008445,0.6390236056526644
3.523442244030499,2.1668919315978257,0.6717944323184128,0.5444048361565073
