x,y,z,vx,vy,vz
2.4588956794839136,1.70971620971621,0.2021276595744681,0.7992641813303017,-0.2155093054092545,0.002127659574468085
2.4734469545393907,1.706048075795975,0.2042553191489362,0.7034414492340899,-0.1640762235171685,0.002127659574468085
2.48627026568203,1.7032993072909042,0.20638297872340428,0.6210843959268059,-0.120708522149701,0.002127659574468085
2.497626789643596,1.7013134702210335,0.20851063829787236,0.5521930214084496,-0.0854062013068519,0.002127659574468085
2.5077777031558544,1.6999341306063998,0.21063829787234042,0.4967673256790213,-0.0581692609886214,0.002127659574468085
2.516984182950569,1.6990048544670395,0.2127659574468085,0.4548073087385207,-0.0389977011950093,0.002127659574468085
2.5255074057595066,1.69836920782299,0.2148936170212766,0.4263129705869481,-0.0278915219260157,0.002127659574468085
2.5336085483144446,1.6978707566942957,0.2170212765957447,0.4112843112242994,-0.0248507231816537,0.002127659574468085
2.542060880296188,1.6968031968032062,0.21914893617021278,0.3925853192750881,-0.0477627493055192,0.002127659574468085
2.55066012418955,1.6961274020097648,0.22127659574468087,0.4000846202970483,-0.0924563123989796,0.002127659574468085
2.559504221268941,1.6945407533642924,0.22340425531914895,0.4298781025579681,-0.1049902143074239,0.002127659574468085
2.568691112808774,1.6929051340816144,0.22553191489361704,0.4761095984595369,-0.1049902143074239,0.002127659574468085
2.57831874008346,1.6913184854361425,0.2276595744680851,0.5309708845373353,-0.0924563123989796,0.002127659574468085
2.5884850443674114,1.6898787487022875,0.2297872340425532,0.584701681460865,-0.0693405644481968,0.002127659574468085
2.59928796693504,1.6886838651544631,0.23191489361702128,0.6255896540334931,-0.0395470821872796,0.002127659574468085
2.610061507120345,1.6878317760670798,0.23404255319148937,0.6183925960498324,-0.0089320332145381,0.002127659574468085
2.622304166421828,1.6874204227145502,0.23617021276595745,0.5975311470034446,0.0146963590056155,0.002127659574468085
2.633753501400575,1.6875477463712856,0.23829787234042554,0.575848131245229,0.0215778151426671,0.002127659574468085
2.6457121310062632,1.6875477463712856,0.24042553191489363,0.546560613849518,-0.0215778151426808,0.002127659574468085
2.657886231415658,1.6874204227145502,0.24255319148936172,0.599982488330594,-0.0146963590056312,0.002127659574468085
2.669884037531111,1.6878317760670798,0.2446808510638298,0.677341677474278,0.0089320332145224,0.002127659574468085
2.682684962096741,1.6879199232140507,0.2468085106382979,0.7140099364680859,0.0179692670445907,0.002127659574468085
2.697170476582256,1.68898748310514,0.24893617021276596,0.7827326560313612,0.0546442054425597,0.002127659574468085
2.712625609684448,1.6900746312511117,0.25106382978723407,0.847446063246897,0.0798105304708249,0.002127659574468085
2.7311658929306137,1.6923860453272317,0.25319148936170216,0.9652791019052172,0.1298409374890623,0.002127659574468085
2.751145912910634,1.6948639595698516,0.25531914893617025,1.0619484484788486,0.1616849968274596,0.002127659574468085
2.773084758378892,1.698615110379826,0.2574468085106383,1.1523541838003504,0.2097633479795895,0.002127659574468085
2.795239074650855,1.7024837907190944,0.2595744680851064,1.1856376547354792,0.2310255612756504,0.002127659574468085
2.8180300092064954,1.706714853773687,0.26170212765957446,1.20207566837613,0.2402665169326405,0.002127659574468085
2.840380208027282,1.7122191533956337,0.26382978723404255,1.1997161688562,0.2699547985780213,0.002127659574468085
2.8627108185931878,1.717645099998051,0.26595744680851063,1.1343782373515867,0.278992032408087,0.002127659574468085
2.8832784862196785,1.7238056061585572,0.2680851063829787,1.053016415264322,0.3096070813808278,0.002127659574468085
2.9018383577207265,1.7292511410158566,0.2702127659574468,0.9152486948869798,0.332413906889158,0.002127659574468085
2.9188801394683908,1.7346672934908327,0.2723404255319149,0.7562120818094189,0.2964486551833132,0.002127659574468085
2.934158978276641,1.741405653170369,0.274468085106383,0.6865625949187775,0.315555090786354,0.002127659574468085
2.9474300209594486,1.7470568647039335,0.2765957446808511,0.6659182265076298,0.3290090806179997,0.002127659574468085
2.960681475387374,1.7542751366280878,0.27872340425531916,0.6657145046807131,0.3516055048952486,0.002127659574468085
2.9737370472664755,1.7619537325419778,0.28085106382978725,0.7172895239112254,0.4119088355133722,0.002127659574468085
2.989446827682138,1.7711504182092517,0.28297872340425534,0.7765675659905953,0.4610124752042461,0.002127659574468085
3.005597343832654,1.7806605159546436,0.2851063829787234,0.871087814275378,0.5294329517292375,0.002127659574468085
3.0230015082956427,1.7922077922078024,0.2872340425531915,0.9351967354143272,0.5937455946951042,0.002127659574468085
3.040307731484219,1.8030890677949605,0.2893617021276596,0.9865680328179268,0.640286013039127,0.002127659574468085
3.057662925310001,1.814264167205354,0.2914893617021277,0.9477306373227748,0.6435722798864207,0.002127659574468085
3.075214001684607,1.8259289729878068,0.2936170212765957,0.8942035622261608,0.5957961717725857,0.002127659574468085
3.0923733129615654,1.8375448081330537,0.29574468085106387,0.827938863394186,0.570524646128779,0.002127659574468085
3.107789269553993,1.8493369375722424,0.2978723404255319,0.741023116746923,0.5177206165326169,0.002127659574468085
3.122274784039507,1.8586021821316043,0.3,0.7088701349660642,0.4608087533773288,0.002127659574468085
3.136642768995728,1.8663003663003768,0.3021276595744681,0.6931551668258589,0.411396191244004,0.002127659574468085
3.151040136334272,1.8748898160662968,0.30425531914893617,0.6751792203770961,0.3566401057817379,0.002127659574468085
3.16497717968308,1.8810013515895971,0.30638297872340425,0.7176184845661608,0.3415429825264413,0.002127659574468085
3.177298192004092,1.8864272981920147,0.30851063829787234,0.7144374183343927,0.2904806075653092,0.002127659574468085
3.1898444692562515,1.892959981195286,0.31063829787234043,0.7086864513516264,0.3064059769365879,0.002127659574468085
